Date,Time,Rud,Ele,Thr,Ail,S1,6P,S2,L1,L2,LS,RS,SA,SB,SC,SD,SE,SF,SG,SH,LSW,TxBat(V)
2015-08-16,13:41:54.200,-3,0,4,0,134,-205,3,21,56,0,0,-1,1,-1,-1,-1,-1,-1,-1,0x0000000000004001,10.3
2015-08-16,13:41:54.440,-3,0,6,0,134,-205,3,20,56,1,0,-1,1,-1,-1,-1,-1,-1,-1,0x0000000000004001,10.3
2015-08-16,13:41:54.680,-2,0,6,0,134,-205,3,20,56,0,0,-1,1,-1,-1,-1,-1,-1,-1,0x0000000000004001,10.3
2015-08-16,13:41:54.910,-2,0,4,0,134,-205,3,21,56,0,0,-1,1,-1,-1,-1,-1,-1,-1,0x0000000000004001,10.3
2015-08-16,13:41:55.140,-2,0,4,0,134,-205,3,21,56,0,0,-1,1,-1,-1,-1,-1,-1,-1,0x0000000000004001,10.3
2015-08-16,13:41:55.380,-3,0,4,0,134,-205,3,20,56,0,0,-1,1,-1,-1,-1,-1,-1,-1,0x0000000000004001,10.3
2015-08-16,13:41:55.630,-3,0,4,0,134,-205,3,21,56,0,0,-1,1,-1,-1,-1,-1,-1,-1,0x0000000000004001,10.3
2015-08-16,13:41:55.890,-2,0,4,0,134,-205,3,20,56,1,0,-1,1,-1,-1,-1,-1,-1,-1,0x0000000000004001,10.3
2015-08-16,13:41:56.150,-2,0,4,0,134,-205,3,20,56,1,0,-1,1,-1,-1,-1,-1,-1,-1,0x0000000000004001,10.3
2015-08-16,13:41:56.390,-2,0,4,1,134,-205,3,21,56,0,0,-1,1,-1,-1,-1,-1,-1,-1,0x0000000000004001,10.3
2015-08-16,13:41:56.620,-3,0,4,0,134,-205,3,21,56,0,0,-1,1,-1,-1,-1,-1,-1,-1,0x0000000000004001,10.3
2015-08-16,13:41:56.860,-2,0,4,0,134,-205,3,20,56,0,0,-1,1,-1,-1,-1,-1,-1,-1,0x0000000000004001,10.3
2015-08-16,13:41:57.090,-2,0,4,0,134,-205,3,20,56,0,0,-1,1,-1,-1,-1,-1,-1,-1,0x0000000000004001,10.3
2015-08-16,13:41:57.290,-2,0,4,0,134,-205,3,21,56,1,0,-1,1,-1,-1,-1,-1,-1,-1,0x0000000000004001,10.3
2015-08-16,13:41:57.490,-3,0,4,0,134,-205,3,20,56,0,0,-1,1,-1,-1,-1,-1,-1,-1,0x0000000000004001,10.3
2015-08-16,13:41:57.690,-2,0,4,0,134,-205,3,21,56,1,0,-1,1,-1,-1,-1,-1,-1,-1,0x0000000000004001,10.3
2015-08-16,13:41:57.890,-2,0,4,0,134,-205,3,21,56,0,0,-1,1,-1,-1,-1,-1,-1,-1,0x0000000000004001,10.3
2015-08-16,13:41:58.090,-2,0,4,0,134,-205,3,20,56,1,0,-1,1,-1,-1,-1,-1,-1,-1,0x0000000000004001,10.3
2015-08-16,13:41:58.290,-2,0,4,0,134,-205,3,20,56,0,0,-1,1,-1,-1,-1,-1,-1,-1,0x0000000000004001,10.3
2015-08-16,13:41:58.490,-2,0,4,0,134,-205,3,21,56,0,0,-1,1,-1,-1,-1,-1,-1,-1,0x0000000000004001,10.3
2015-08-16,13:41:58.690,-2,0,6,0,134,-205,3,20,56,0,0,-1,1,-1,-1,-1,-1,-1,-1,0x0000000000004001,10.3
2015-08-16,13:41:58.890,-2,0,4,0,134,-205,3,21,56,0,0,-1,1,-1,-1,-1,-1,-1,-1,0x0000000000004001,10.3
2015-08-16,13:41:59.180,-3,0,4,0,134,-205,3,21,56,1,0,-1,1,-1,-1,-1,-1,-1,-1,0x0000000000004001,10.3
2015-08-16,13:41:59.420,-2,0,4,0,134,-205,3,21,56,0,0,-1,1,-1,-1,-1,-1,-1,-1,0x0000000000004001,10.3
2015-08-16,13:41:59.660,-2,0,4,0,134,-205,3,20,56,0,0,-1,1,-1,-1,-1,-1,-1,-1,0x0000000000004001,10.3
2015-08-16,13:41:59.900,-2,0,4,0,134,-205,3,21,56,0,0,-1,1,-1,-1,-1,-1,-1,-1,0x0000000000004001,10.3
2015-08-16,13:42:00.130,-3,0,4,0,134,-205,3,21,56,0,0,-1,1,-1,-1,-1,-1,-1,-1,0x0000000000004001,10.3
2015-08-16,13:42:00.370,-3,0,4,0,134,-205,3,21,56,1,0,-1,1,-1,-1,-1,-1,-1,-1,0x0000000000004001,10.3
2015-08-16,13:42:00.610,-3,0,4,0,134,-205,3,20,56,0,0,-1,1,-1,-1,-1,-1,-1,-1,0x0000000000004001,10.3
2015-08-16,13:42:00.840,-3,0,4,0,134,-205,3,20,56,1,0,-1,1,-1,-1,-1,-1,-1,-1,0x0000000000004001,10.3
2015-08-16,13:42:01.080,-2,0,4,0,134,-205,3,20,56,0,0,-1,1,-1,-1,-1,-1,-1,-1,0x0000000000004001,10.3
2015-08-16,13:42:01.310,-2,0,4,0,134,-205,3,21,56,0,0,-1,1,-1,-1,-1,-1,-1,-1,0x0000000000004001,10.3
2015-08-16,13:42:01.570,-2,0,4,0,134,-205,3,20,56,0,0,-1,1,-1,-1,-1,-1,-1,-1,0x0000000000004001,10.3
2015-08-16,13:42:01.830,-2,0,4,0,134,-205,3,21,56,0,0,-1,1,-1,-1,-1,-1,-1,-1,0x0000000000004001,10.3
2015-08-16,13:42:02.090,-2,0,4,0,134,-205,3,21,56,0,0,-1,1,-1,-1,-1,-1,-1,-1,0x0000000000004001,10.3
2015-08-16,13:42:02.320,-3,0,4,0,134,-205,3,21,56,1,0,-1,1,-1,-1,-1,-1,-1,-1,0x0000000000004001,10.3
2015-08-16,13:42:02.520,-2,0,4,0,134,-205,3,20,56,1,0,-1,1,-1,-1,-1,-1,-1,-1,0x0000000000004001,10.3
2015-08-16,13:42:02.720,-3,0,4,0,134,-205,3,20,56,0,0,-1,1,-1,-1,-1,-1,-1,-1,0x0000000000004001,10.3
2015-08-16,13:42:02.920,-3,0,4,0,134,-205,3,21,56,1,0,-1,1,-1,-1,-1,-1,-1,-1,0x0000000000004001,10.3
2015-08-16,13:42:03.120,-2,0,4,0,134,-205,3,21,56,0,0,-1,1,-1,-1,-1,-1,-1,-1,0x0000000000004001,10.3
2015-08-16,13:42:03.320,-2,0,4,0,134,-205,3,20,56,0,0,-1,1,-1,-1,-1,-1,-1,-1,0x0000000000004001,10.3
2015-08-16,13:42:03.520,-2,0,4,0,134,-205,3,21,56,0,0,-1,1,-1,-1,-1,-1,-1,-1,0x0000000000004001,10.3
2015-08-16,13:42:03.720,-2,0,4,0,134,-205,3,20,56,1,0,-1,1,-1,-1,-1,-1,-1,-1,0x0000000000004001,10.3
2015-08-16,13:42:03.920,-2,0,4,0,134,-205,3,20,56,0,0,-1,1,-1,-1,-1,-1,-1,-1,0x0000000000004001,10.3
